,Incident Number,Incident Date,Time Num,Street,Alt Street,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
171,19-057541,2019-06-13 15:10:00,15.0,7804 E Brainerd Rd,,Jenkins Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.008124,-85.154777,POINT (-85.154777 35.008124),"(35.008124, -85.154777)",Daylight,2019,6,13,15,3
172,19-059872,2019-06-19 23:53:00,24.0,231 E Martin Luther King Blvd,SR-231,Houston,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,1.0,35.045074,-85.305802,POINT (-85.305802 35.045074),"(35.045074, -85.305802)",Dark - Lighted,2019,6,19,23,2
173,19-059891,2019-06-20 01:25:00,1.5,Rossville Blvd,SR-4000,E 40th St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,34.997339,-85.291703,POINT (-85.291703 34.997339),"(34.997339, -85.291703)",Dark - Not Lighted,2019,6,20,1,3
174,19-063360,2019-06-28 22:30:00,22.5,3404 Navajo Dr,,S Germantown Rd.,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.016959,-85.251097,POINT (-85.251097 35.016959),"(35.016959, -85.251097)",Dark - Not Lighted,2019,6,28,22,4
175,19-063597,2019-06-29 13:50:00,14.0,8164 E Brainerd Rd,,E Brainered Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.002514,-85.147593,POINT (-85.147593 35.002514),"(35.002514, -85.147593)",Daylight,2019,6,29,13,5
176,19-064203,2019-07-01 10:43:00,10.5,300 N Market St,,Kent Street,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.064593,-85.308922,POINT (-85.308922 35.064593),"(35.064593, -85.308922)",Daylight,2019,7,1,10,0
177,19-065093,2019-07-03 16:19:00,16.5,200 Tunnel Blvd,SR-1,Pinewood Ave,1.0,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.027661,-85.247331,POINT (-85.247331 35.027661),"(35.027661, -85.247331)",Daylight,2019,7,3,16,2
178,19-067122,2019-07-09 06:50:00,7.0,1255 Central Ave,,E 13th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.034534,-85.295368,POINT (-85.295368 35.034534),"(35.034534, -85.295368)",Daylight,2019,7,9,6,1
179,19-068988,2019-07-14 01:50:00,2.0,808 Fairview Ave,,E. mlk,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.0510711,-85.322005,POINT (-85.322005 35.0510711),"(35.0510711, -85.322005)",Dark - Lighted,2019,7,14,1,6
180,19-069775,2019-07-16 12:00:00,12.0,22 Starview Ln,,Cummings Hwy,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,,1,Clear,1,0,0.0,0.0,35.02038,-85.378301,POINT (-85.378301 35.02038),"(35.020380, -85.378301)",Daylight,2019,7,16,12,1
181,19-076880,2019-08-04 21:05:00,21.0,1816 Dodds Ave,SR-1,18016 Dodds Ave,1.0,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.019143,-85.2716,POINT (-85.2716 35.019143),"(35.019143, -85.271600)",Dark - Lighted,2019,8,4,21,6
182,19-076980,2019-08-05 06:40:00,6.5,975 E 3rd St,,E 3rd St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.0407327,-85.299871,POINT (-85.299871 35.0407327),"(35.0407327, -85.299871)",Daylight,2019,8,5,6,0
183,19-081274,2019-08-16 14:50:00,15.0,1414 Gadd Rd,SR-1,School Dr,1.0,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.141496,-85.238212,POINT (-85.238212 35.141496),"(35.141496, -85.238212)",Daylight,2019,8,16,14,4
184,19-082739,2019-08-20 07:45:00,8.0,1000 Hixson Pike,US-1000,Tremont Street,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.069184,-85.28933,POINT (-85.28933 35.069184),"(35.069184, -85.289330)",Daylight,2019,8,20,7,1
185,19-082961,2019-08-20 19:29:00,19.5,Market St,,E Martin Luther King Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,1.0,35.045763,-85.309399,POINT (-85.309399 35.045763),"(35.045763, -85.309399)",Daylight,2019,8,20,19,1
186,19-084734,2019-08-25 02:30:00,2.5,7099 Highway 153,US-153,Boy Scout Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,50.0,1,Clear,1,0,0.0,0.0,35.187101,-85.246378,POINT (-85.246378 35.187101),"(35.187101, -85.246378)",Dark - Not Lighted,2019,8,25,2,6
187,19-085058,2019-08-26 00:59:00,1.0,4535 Highway 58,US-58,Rocky River Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.085699,-85.194881,POINT (-85.194881 35.085699),"(35.085699, -85.194881)",Dark - Not Lighted,2019,8,26,0,0
188,19-088686,2019-09-04 12:35:00,12.5,1800 Dodds Ave,,E 18th St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.019182,-85.271574,POINT (-85.271574 35.019182),"(35.019182, -85.271574)",Daylight,2019,9,4,12,2
189,19-089265,2019-09-05 23:00:00,23.0,2600 4th Ave,,E 25th St Pl,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.015848,-85.280595,POINT (-85.280595 35.015848),"(35.015848, -85.280595)",Dark - Lighted,2019,9,5,23,3
190,19-092746,2019-09-14 21:45:00,22.0,18100 Interstate 24 Wb Hwy,I-24,4th Ave,181.0,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,55.0,1,Clear,1,0,0.0,1.0,35.016831,-85.281292,POINT (-85.281292 35.016831),"(35.016831, -85.281292)",Dark - Lighted,2019,9,14,21,5
191,19-097945,2019-09-28 16:13:00,16.0,W Aquarium Way,,Walnut St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.055266,-85.307282,POINT (-85.307282 35.055266),"(35.055266, -85.307282)",Daylight,2019,9,28,16,5
192,19-098456,2019-09-29 22:45:00,23.0,409 Veterans Way,,N Sylvan Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.035578,-85.230847,POINT (-85.230847 35.035578),"(35.035578, -85.230847)",Dark - Not Lighted,2019,9,29,22,6
193,19-103122,2019-10-11 21:38:00,21.5,1428 Jenkins Rd,,Cleveland Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,45.0,1,Clear,1,0,0.0,0.0,34.993964,-85.289371,POINT (-85.289371 34.993964),"(34.993964, -85.289371)",Dark - Not Lighted,2019,10,11,21,4
194,19-103324,2019-10-12 13:40:00,13.5,S Lyerly St,SR-0,Bailey Ave,0.0,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,,,35.030994,-85.270124,POINT (-85.270124 35.030994),"(35.030994, -85.270124)",Daylight,2019,10,12,13,5
195,19-107355,2019-10-23 17:10:00,17.0,1685 Walker Ave,,N Hickory St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.046258,-85.272018,POINT (-85.272018 35.046258),"(35.046258, -85.272018)",Daylight,2019,10,23,17,2
196,19-108747,2019-10-27 13:27:00,13.5,652 E 10th St,,Peeples St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Cloudy,1,0,0.0,0.0,35.040827,-85.299219,POINT (-85.299219 35.040827),"(35.040827, -85.299219)",Daylight,2019,10,27,13,6
197,19-109602,2019-10-29 20:39:00,20.5,2109 Morris Hill Rd,,Belleau Woods Dr,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,1.0,1.0,35.02297,-85.12391,POINT (-85.12391 35.02297),"(35.022970, -85.123910)",Dark - Not Lighted,2019,10,29,20,1
198,19-112534,2019-11-06 20:30:00,20.5,Mountain Creek Rd,,Commercial Ln,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.101463,-85.32711,POINT (-85.32711 35.101463),"(35.101463, -85.327110)",Dark - Lighted,2019,11,6,20,2
199,19-114736,2019-11-13 09:00:00,9.0,1201 Boynton Dr,,Gateway Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,35.045229,-85.32022,POINT (-85.32022 35.045229),"(35.045229, -85.320220)",Daylight,2019,11,13,9,2
200,19-114812,2019-11-13 12:13:00,12.0,143 N Market St,,N Market St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.063047,-85.30872,POINT (-85.30872 35.063047),"(35.063047, -85.308720)",Daylight,2019,11,13,12,2
201,19-117712,2019-11-21 19:25:00,19.5,2100 Mccallie Ave,,South Willow St,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,35.0,1,Clear,1,0,0.0,0.0,35.034853,-85.27185,POINT (-85.27185 35.034853),"(35.034853, -85.271850)",Dark - Lighted,2019,11,21,19,3
202,19-118070,2019-11-22 17:55:00,18.0,1300 Workman Rd,,Rossville Blvd.,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Rain,1,0,0.0,0.0,35.0129085,-85.228032,POINT (-85.228032 35.0129085),"(35.0129085, -85.228032)",Dark - Not Lighted,2019,11,22,17,4
203,19-118652,2019-11-24 13:26:00,13.5,5972 Brainerd Rd,,Brainerd Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,2,Clear,1,0,0.0,0.0,35.016971,-85.206001,POINT (-85.206001 35.016971),"(35.016971, -85.206001)",Daylight,2019,11,24,13,6
204,19-119769,2019-11-27 16:40:00,16.5,Georgia Ave,,E 5th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.040699,-85.300804,POINT (-85.300804 35.040699),"(35.040699, -85.300804)",Daylight,2019,11,27,16,2
205,19-119931,2019-11-28 07:28:00,7.5,100 Tremont St,,Frazier Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.061791,-85.304515,POINT (-85.304515 35.061791),"(35.061791, -85.304515)",Daylight,2019,11,28,7,3
206,19-121866,2019-12-04 08:45:00,9.0,3300 Alton Park Blvd,,West 33rd Street,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Other,1,0,0.0,0.0,35.053737,-85.353159,POINT (-85.353159 35.053737),"(35.053737, -85.353159)",Daylight,2019,12,4,8,2
207,19-122129,2019-12-04 20:05:00,20.0,,I-75,East Brainerd Rd,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,55.0,1,Clear,1,0,0.0,0.0,35.027319,-85.17255,POINT (-85.17255 35.027319),"(35.027319, -85.172550)",Dark - Not Lighted,2019,12,4,20,2
208,19-124295,2019-12-11 10:45:00,11.0,3504 Hixson Pike,,00 Lupton drive,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.104469,-85.272607,POINT (-85.272607 35.104469),"(35.104469, -85.272607)",Daylight,2019,12,11,10,2
209,19-125921,2019-12-15 19:25:00,19.5,Usher Dr,US-5200,Halsey St,,Property Damage,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,34.989363,-85.316471,POINT (-85.316471 34.989363),"(34.989363, -85.316471)",Dark - Lighted,2019,12,15,19,6
210,19-127235,2019-12-19 12:51:00,13.0,7477 Commons Blvd,,Commons Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,35.033141,-85.145593,POINT (-85.145593 35.033141),"(35.033141, -85.145593)",Daylight,2019,12,19,12,3
211,19-127760,2019-12-20 18:00:00,18.0,3500 Rossville Blvd,,E 35th St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.003278,-85.292176,POINT (-85.292176 35.003278),"(35.003278, -85.292176)",Dark - Lighted,2019,12,20,18,4
212,19-128527,2019-12-23 07:18:00,7.5,5440 Highway 153,US-153,North Point Blvd,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,0,0,45.0,1,Rain,1,0,0.0,0.0,35.138778,-85.247194,POINT (-85.247194 35.138778),"(35.138778, -85.247194)",Dark - Not Lighted,2019,12,23,7,0
213,19-129005,2019-12-24 12:50:00,13.0,Signal Mountain Rd,,Raider Ln,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,1.0,35.0946,-85.33053,POINT (-85.33053 35.0946),"(35.094600, -85.330530)",Daylight,2019,12,24,12,1
214,19-130063,2019-12-27 18:13:00,18.0,904 N Orchard Knob Ave,,Rawlings St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.047855,-85.268016,POINT (-85.268016 35.047855),"(35.047855, -85.268016)",Dark - Unknown Lighting,2019,12,27,18,4
215,20-005045,2020-01-14 21:53:00,22.0,3300 Rossville Blvd,,33rd St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.005972,-85.29307,POINT (-85.29307 35.005972),"(35.005972, -85.293070)",Dark - Lighted,2020,1,14,21,1
216,20-007465,2020-01-21 19:58:00,20.0,35 Talley Rd,,Brainerd Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.021481,-85.240693,POINT (-85.240693 35.021481),"(35.021481, -85.240693)",Dark - Not Lighted,2020,1,21,19,1
217,20-007710,2020-01-22 15:15:00,15.5,1330 E 3rd St,,Holtzlcaw Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.043072,-85.279331,POINT (-85.279331 35.043072),"(35.043072, -85.279331)",Daylight,2020,1,22,15,2
218,20-009487,2020-01-27 18:35:00,18.5,7987 E Brainerd Rd,,Thelmeta Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.005196,-85.151676,POINT (-85.151676 35.005196),"(35.005196, -85.151676)",Dark - Lighted,2020,1,27,18,0
219,20-010731,2020-01-30 13:30:00,13.5,4th St,,Market St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.052314,-85.309633,POINT (-85.309633 35.052314),"(35.052314, -85.309633)",Daylight,2020,1,30,13,3
220,20-011804,2020-02-03 13:14:00,13.0,400 E 4th St,,Market St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.052314,-85.309633,POINT (-85.309633 35.052314),"(35.052314, -85.309633)",Daylight,2020,2,3,13,0
221,20-012270,2020-02-04 16:41:00,16.5,3100 Cummings Hwy,,Aster Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.0373424,-85.317313,POINT (-85.317313 35.0373424),"(35.0373424, -85.317313)",Daylight,2020,2,4,16,1
222,20-013461,2020-02-07 17:40:00,17.5,2100 Hamilton Place Blvd,,Hamilton Place Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,,1,Clear,1,0,0.0,0.0,35.034528,-85.158706,POINT (-85.158706 35.034528),"(35.034528, -85.158706)",Daylight,2020,2,7,17,4
223,20-015653,2020-02-14 03:00:00,3.0,4400 HWY 58,,Murray Hills DR,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,40.0,1,Clear,1,0,0.0,0.0,35.084387,-85.201204,POINT (-85.201204 35.084387),"(35.084387, -85.201204)",Dark - Lighted,2020,2,14,3,4
224,20-017747,2020-02-20 08:54:00,9.0,Brainerd Rd,,N Moore Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,40.0,1,Rain,1,0,0.0,0.0,35.012954,-85.228277,POINT (-85.228277 35.012954),"(35.012954, -85.228277)",Daylight,2020,2,20,8,3
225,20-018727,2020-02-23 00:07:00,24.0,2302 Glass St,,GLASS ST,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,,1,Clear,1,0,0.0,0.0,35.064089,-85.253404,POINT (-85.253404 35.064089),"(35.064089, -85.253404)",Dark - Lighted,2020,2,23,0,6
226,20-018938,2020-02-23 19:50:00,20.0,8101 E Brainerd Rd,,E Brainerd Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.005297,-85.149263,POINT (-85.149263 35.005297),"(35.005297, -85.149263)",Dark - Lighted,2020,2,23,19,6
227,20-019660,2020-02-25 20:25:00,20.5,4211 Rossville Blvd,,E 43rd St,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,1,0,40.0,1,Clear,1,0,1.0,1.0,34.994056,-85.291635,POINT (-85.291635 34.994056),"(34.994056, -85.291635)",Dark - Lighted,2020,2,25,20,1
228,20-019932,2020-02-26 17:20:00,17.5,W 4th St,,Broad St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,20.0,1,Cloudy,1,0,0.0,0.0,35.052295,-85.310664,POINT (-85.310664 35.052295),"(35.052295, -85.310664)",Daylight,2020,2,26,17,2
229,20-021046,2020-02-29 20:35:00,20.5,320 King St,SR-320,E Martin Luther King Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,25.0,1,Clear,1,0,0.0,1.0,35.044474,-85.304811,POINT (-85.304811 35.044474),"(35.044474, -85.304811)",Dark - Lighted,2020,2,29,20,5
230,20-023373,2020-03-07 03:50:00,4.0,8001 Volkswagen Dr,,75 hwy,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,,1,Clear,1,0,0.0,0.0,35.0766869,-85.135141,POINT (-85.135141 35.0766869),"(35.0766869, -85.135141)",Dark - Lighted,2020,3,7,3,5
231,20-023810,2020-03-08 14:32:00,14.5,1901 E 3RD ST,,N Orchard Knob,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.040848,-85.271906,POINT (-85.271906 35.040848),"(35.040848, -85.271906)",Daylight,2020,3,8,14,6
232,20-024194,2020-03-09 16:27:00,16.5,3600 Brainerd Rd,,McBrien Rd.,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,34.9949758,-85.3385,POINT (-85.3385 34.9949758),"(34.9949758, -85.338500)",Daylight,2020,3,9,16,0
233,20-025159,2020-03-12 07:27:00,7.5,2-8 Exit 181 On Ramp Wb rd,I-24,4th Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Rain,1,0,0.0,0.0,35.01715,-85.28045,POINT (-85.28045 35.01715),"(35.017150, -85.280450)",Dark - Lighted,2020,3,12,7,3
234,20-025299,2020-03-12 15:36:00,15.5,3536 Brainerd Rd,,N Germantown Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.024755,-85.247548,POINT (-85.247548 35.024755),"(35.024755, -85.247548)",Daylight,2020,3,12,15,3
235,20-027765,2020-03-19 07:00:00,7.0,S Germantown Rd,,Wilcox Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,,,35.051577,-85.253371,POINT (-85.253371 35.051577),"(35.051577, -85.253371)",Dawn,2020,3,19,7,3
236,20-028919,2020-03-22 23:30:00,23.5,3450 Wilcox Blvd,US-12,Wilcox Blvd,11.0,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.047062,-85.237198,POINT (-85.237198 35.047062),"(35.047062, -85.237198)",Dark - Lighted,2020,3,22,23,6
237,20-029044,2020-03-23 12:39:00,12.5,1000 E 3rd Street,,E 3rd St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Rain,1,0,0.0,0.0,35.047259,-85.290517,POINT (-85.290517 35.047259),"(35.047259, -85.290517)",Daylight,2020,3,23,12,0
238,20-033697,2020-04-05 20:35:00,20.5,1505 Mulberry St,,E Main St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.025113,-85.278727,POINT (-85.278727 35.025113),"(35.025113, -85.278727)",Dark - Lighted,2020,4,5,20,6
239,20-034140,2020-04-07 09:32:00,9.5,1609 Dodds Ave,,E 17th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.02045,-85.270951,POINT (-85.270951 35.02045),"(35.020450, -85.270951)",Daylight,2020,4,7,9,1
240,20-034662,2020-04-08 19:45:00,20.0,E 36th street,,3rd avenue,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,1,0,35.0,1,Clear,1,0,0.0,0.0,35.002497,-85.289383,POINT (-85.289383 35.002497),"(35.002497, -85.289383)",Dusk,2020,4,8,19,2
241,20-035379,2020-04-10 19:10:00,19.0,4211 Rossville Blvd,,E 42nd St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,40.0,1,Clear,1,0,0.0,0.0,35.0237939,-85.297324,POINT (-85.297324 35.0237939),"(35.0237939, -85.297324)",Daylight,2020,4,10,19,4
242,20-035956,2020-04-12 15:10:00,15.0,153 Hwy,,Grubb Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,45.0,1,Rain,1,0,0.0,0.0,35.152975,-85.24562,POINT (-85.24562 35.152975),"(35.152975, -85.245620)",Daylight,2020,4,12,15,6
243,20-041352,2020-04-29 08:40:00,8.5,959 Gateway Ave,,959 Gateway Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,,1,Clear,1,0,0.0,0.0,35.045229,-85.32022,POINT (-85.32022 35.045229),"(35.045229, -85.320220)",Daylight,2020,4,29,8,2
244,20-042600,2020-05-02 22:20:00,22.5,7748 Nautical Way,,Holiday Hills Cir,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,,35.080442,-85.16802,POINT (-85.16802 35.080442),"(35.080442, -85.168020)",Dark - Not Lighted,2020,5,2,22,5
245,20-042819,2020-05-03 15:18:00,15.5,2626 Walker Rd,,Standifer Gap Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.056528,-85.13274,POINT (-85.13274 35.056528),"(35.056528, -85.132740)",Daylight,2020,5,3,15,6
246,20-048016,2020-05-17 22:40:00,22.5,4th Ave,,E 25th St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.015081,-85.281591,POINT (-85.281591 35.015081),"(35.015081, -85.281591)",Dark - Lighted,2020,5,17,22,6
247,20-048502,2020-05-19 09:01:00,9.0,1100 E 3rd St,,Central Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.046017,-85.288095,POINT (-85.288095 35.046017),"(35.046017, -85.288095)",Daylight,2020,5,19,9,1
248,20-049278,2020-05-21 08:40:00,8.5,Lookout St,,Georgia Ave,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.050391,-85.306948,POINT (-85.306948 35.050391),"(35.050391, -85.306948)",Daylight,2020,5,21,8,3
249,20-056719,2020-06-10 20:00:00,20.0,1426 Stratton Place Dr,,E Brainerd Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.011049,-85.160485,POINT (-85.160485 35.011049),"(35.011049, -85.160485)",Daylight,2020,6,10,20,2
250,20-058838,2020-06-16 16:00:00,16.0,3409 Clio Ave Private property,,Private Property Driveway,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.005409,-85.291976,POINT (-85.291976 35.005409),"(35.005409, -85.291976)",Daylight,2020,6,16,16,1
251,20-059288,2020-06-17 21:38:00,21.5,2285 Wilcox Blvd,,Dodson Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,15.0,1,Rain,1,0,0.0,0.0,35.053263,-85.260921,POINT (-85.260921 35.053263),"(35.053263, -85.260921)",Dark - Lighted,2020,6,17,21,2
252,20-062520,2020-06-26 10:46:00,11.0,1301 Dallas Rd,,Mississippi Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,,1,Rain,1,0,0.0,0.0,35.079156,-85.303264,POINT (-85.303264 35.079156),"(35.079156, -85.303264)",Daylight,2020,6,26,10,4
253,20-064703,2020-07-02 11:10:00,11.0,7022 Shallowford Rd,,Amin Dr,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,,1,Clear,1,0,0.0,0.0,35.042752,-85.158203,POINT (-85.158203 35.042752),"(35.042752, -85.158203)",Daylight,2020,7,2,11,3
254,20-066160,2020-07-05 21:53:00,22.0,2909 Noa St,,Stuart St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,1.0,35.069598,-85.245405,POINT (-85.245405 35.069598),"(35.069598, -85.245405)",Dark - Lighted,2020,7,5,21,6
255,20-070750,2020-07-17 21:30:00,21.5,8001 Volkswagen Dr,,Gate 9A Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.080045,-85.132664,POINT (-85.132664 35.080045),"(35.080045, -85.132664)",Dark - Not Lighted,2020,7,17,21,4
256,20-071736,2020-07-20 13:33:00,13.5,2528 Broad St,,W 25th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,2,Clear,1,0,0.0,0.0,35.02783,-85.315794,POINT (-85.315794 35.02783),"(35.027830, -85.315794)",Daylight,2020,7,20,13,0
